make,model,price_usd,year,kilometer,fuel_type,transmission,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length_mm,width_mm,height_mm,seating_capacity,fuel_tank_capacity_l
BMW,X5 xDrive30d xLine,51000,2017,80000,Diesel,Automatic,White,First,Individual,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,AWD,4922.0,2004.0,1745.0,5.0,80.0
Ford,Ecosport Trend 1.5 TDCi,5760,2014,115000,Diesel,Manual,White,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
Hyundai,Grand i10 NIOS Magna 1.2 Kappa VTVT,7080,2020,74000,Petrol,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3805.0,1680.0,1520.0,5.0,37.0
Hyundai,Elite i20 Sportz 1.4,6732,2015,61000,Diesel,Manual,Silver,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Toyota,Corolla Altis 1.8 G,8700,2014,104814,Petrol,Manual,Grey,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540.0,1760.0,1480.0,5.0,55.0
Hyundai,Elantra 1.8 SX MT,7740,2013,17000,Petrol,Manual,White,First,Individual,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,4530.0,1775.0,1470.0,5.0,56.0
Audi,Q3 35 TDI Premium + Sunroof,20340,2015,60000,Diesel,Automatic,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,Swift Lxi (O) [2014-2017],5400,2016,45000,Petrol,Manual,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Mahindra,XUV500 W10,16500,2016,75811,Diesel,Manual,Black,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Mahindra,Thar AX 4-STR Convertible Petrol MT,20400,2021,3813,Petrol,Manual,Red,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1855.0,4.0,57.0
Maruti Suzuki,Swift VXi [2014-2017],6300,2016,64928,Petrol,Manual,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Maruti Suzuki,DZire VDi,7080,2018,68500,Diesel,Manual,Grey,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Toyota,Fortuner 3.0 4x2 AT,17940,2014,85000,Diesel,Automatic,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
BMW,5-Series 520d M Sport,39600,2017,41296,Diesel,Automatic,Blue,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,65.0
Honda,Amaze 1.5 SX i-DTEC,4620,2013,72567,Diesel,Manual,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
Maruti Suzuki,Wagon R VXI+,6420,2020,4295,Petrol,Manual,Silver,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636.0,1475.0,1670.0,5.0,35.0
Maruti Suzuki,Vitara Brezza ZDi Plus,10500,2018,82000,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,Swift DZire LXi,3540,2010,33000,Petrol,Manual,Grey,First,Individual,1298 cc,87@6000,113@4500,FWD,4160.0,1690.0,1530.0,5.0,43.0
Fiat,Linea Emotion 1.4,2820,2011,54000,Petrol,Manual,Black,First,Individual,1368 cc,90@6000,115@4500,,4560.0,1730.0,1487.0,5.0,45.0
Hyundai,Creta SX 1.6 CRDi (O),11639,2018,68000,Diesel,Manual,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
Honda,City ZX CVT Petrol,20400,2022,8530,Petrol,Automatic,White,UnRegistered Car,Individual,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549.0,1748.0,1489.0,5.0,40.0
Hyundai,Tucson GLS 2WD AT Petrol,21479,2018,46000,Petrol,Automatic,Black,First,Individual,1999 cc,153 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD,4475.0,1850.0,1660.0,5.0,62.0
Toyota,Innova 2.7 VX 7 STR [2016-2020],23579,2020,26000,Petrol,Manual,Silver,First,Individual,2694 cc,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD,4735.0,1830.0,1795.0,7.0,65.0
Audi,TT 2.0 TFSI Quattro,48000,2014,39394,Petrol,Automatic,White,Second,Individual,1984 cc,208 bhp @ 4300 rpm,350 Nm @ 1600 rpm,AWD,4198.0,1842.0,1353.0,2.0,60.0
Tata,Tiago Revotron XTA [2017-2019],5819,2018,35000,Petrol,Automatic,Blue,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
Maruti Suzuki,Swift VXi [2014-2017],6960,2019,17881,Petrol,Manual,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Honda,City E [2013-2016],5400,2014,48409,Petrol,Manual,White,Second,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Alto 800 Vxi (Airbag),4260,2020,40000,Petrol,Manual,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Audi,Q3 35 TDI Premium + Sunroof,28500,2017,61643,Diesel,Automatic,Blue,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Mercedes-Benz,C-Class Cabriolet C 300,78000,2020,21000,Petrol,Automatic,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686.0,1810.0,1409.0,4.0,59.0
Tata,Nexon XZ Plus Dark Edition,12600,2022,1500,Petrol,Manual,Black,First,Individual,1199 cc,118 bhp @ 5500 rpm,170 Nm @ 1750 rpm,FWD,3993.0,1811.0,1606.0,5.0,44.0
Ford,Ecosport Ambiente 1.5L TDCi,5340,2014,38985,Diesel,Manual,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0
Honda,Jazz SV Petrol,5940,2015,52000,Petrol,Manual,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
Hyundai,i10 Sportz 1.2 Kappa2,3300,2011,42000,Petrol,Manual,Grey,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
Honda,Amaze 1.2 VX AT i-VTEC,5580,2014,29442,Petrol,Automatic,Silver,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],12600,2017,71800,Diesel,Manual,Black,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
Mercedes-Benz,C-Class C 200 Progressive [2018-2020],58800,2022,5000,Petrol,Automatic,White,First,Individual,1497 cc,181 bhp @ 5800 rpm,280 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,8340,2020,18000,CNG,Manual,Green,First,Individual,1197 cc,68 bhp @ 6000 rpm,95 Nm @ 4000 rpm,FWD,3805.0,1680.0,1520.0,5.0,60.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],38520,2018,37000,Diesel,Automatic,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
Honda,City 1.5 S MT,3228,2009,85000,Petrol,Manual,White,Second,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Hyundai,Xcent E Plus CRDi,5340,2018,65555,Diesel,Manual,White,Second,Individual,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
Land Rover,Evoque SE R-Dynamic,71400,2021,35000,Diesel,Automatic,Beige,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4371.0,1996.0,1649.0,5.0,66.5
BMW,X3 xDrive 20d Luxury Line [2018-2020],45600,2018,87000,Diesel,Automatic,Blue,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657.0,1881.0,1678.0,5.0,67.0
Hyundai,Creta 1.6 SX Plus AT Petrol,12000,2018,42000,Petrol,Automatic,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Mahindra,Scorpio S11 4WD 7 STR,17880,2018,68000,Diesel,Manual,White,Second,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456.0,1820.0,1995.0,7.0,60.0
MG,Astor Sharp EX 1.5 MT,18600,2022,600,Petrol,Manual,Orange,First,Individual,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD,4323.0,1809.0,1650.0,5.0,48.0
Tata,Grande GX,2388,2011,192326,Diesel,Manual,White,Third,Individual,2179 cc,120@4000,250@1500,,4421.0,1780.0,1940.0,7.0,65.0
Toyota,Innova 2.0 V,6900,2013,82000,Petrol,Manual,Gold,UnRegistered Car,Individual,1998 cc,136@5600,182@4000,,4555.0,1770.0,1755.0,8.0,55.0
Toyota,Etios Liva VD Dual Tone,5819,2017,86006,Diesel,Manual,White,First,Individual,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,3884.0,1695.0,1510.0,5.0,45.0
Honda,City SV Diesel,5100,2014,75000,Diesel,Manual,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mahindra,Scorpio S10,13800,2014,99000,Diesel,Manual,Silver,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
Skoda,Superb L&K TSI AT,38340,2021,21651,Petrol,Automatic,Blue,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0
Hyundai,i20 Active 1.4 SX,8700,2016,84000,Diesel,Manual,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995.0,1760.0,1555.0,5.0,45.0
Mercedes-Benz,M-Class ML 350 CDI,29400,2014,65000,Diesel,Automatic,White,Second,Individual,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0
Maruti Suzuki,Ciaz Zeta 1.4 AT,8892,2017,31000,Petrol,Automatic,Blue,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],88200,2022,17000,Diesel,Automatic,Grey,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
Mahindra,Thar AX 6-STR Soft Top Diesel MT,18600,2020,28000,Diesel,Manual,Black,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1920.0,6.0,57.0
Honda,City S Diesel,7740,2015,64000,Diesel,Manual,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Honda,City SV Diesel,6600,2014,85000,Diesel,Manual,Silver,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Baleno Alpha 1.2 AT,7140,2017,35000,Petrol,Automatic,Blue,Third,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Volvo,V40 Cross Country D3,19140,2015,44000,Diesel,Automatic,Blue,First,Individual,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370.0,1783.0,1458.0,5.0,60.0
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],6000,2017,32000,Petrol,Automatic,Orange,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715.0,1635.0,1565.0,5.0,35.0
Maruti Suzuki,Wagon R LXI ABS,4140,2016,49857,Petrol,Manual,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Maruti Suzuki,Wagon R VXI+,3588,2013,46000,Petrol,Manual,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636.0,1475.0,1670.0,5.0,35.0
Maruti Suzuki,Wagon R LXi Minor,1920,2008,50000,Petrol,Manual,Silver,Second,Individual,1061 cc,67@6200,84@3500,FWD,3520.0,1475.0,1690.0,5.0,35.0
Maruti Suzuki,Baleno Delta 1.2 AT,6840,2017,36000,Petrol,Automatic,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Renault,Kiger RXT Turbo CVT,9600,2021,13000,Petrol,Automatic,White,First,Individual,999 cc,99 bhp @ 5000 rpm,152 Nm @ 2200 rpm,FWD,3991.0,1750.0,1605.0,5.0,40.0
Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],5280,2018,40000,Petrol,Manual,White,First,Individual,,,,,3655.0,1620.0,1675.0,5.0,32.0
Mercedes-Benz,E-Class 200 K Classic,6119,2007,39000,Petrol,Automatic,Silver,Third,Individual,,,,,,,,,
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],3780,2013,45000,Petrol,Manual,Grey,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515.0,1500.0,1510.0,5.0,32.0
Maruti Suzuki,Alto LXi BS-III,2724,2011,87513,Petrol,Manual,Blue,Second,Individual,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0
Mercedes-Benz,S-Class 350 L,22200,2011,26000,Petrol,Automatic,Black,First,Individual,3498 cc,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD,5226.0,2120.0,1479.0,5.0,90.0
Maruti Suzuki,S-Presso VXi CNG,7320,2022,3800,CNG,Manual,White,First,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3565.0,1520.0,1564.0,4.0,55.0
Toyota,Innova 2.4 VX 8 STR [2016-2020],23940,2018,35123,Diesel,Manual,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],22500,2021,21000,Diesel,Automatic,Grey,First,Individual,1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],20987,2022,2670,Petrol,Automatic,White,First,Individual,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Skoda,Rapid Ambition 1.6 TDI CR MT,7680,2016,124000,Diesel,Manual,Grey,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
Hyundai,Elite i20 Asta 1.2 (O) [2016],9348,2016,9889,Petrol,Manual,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Honda,City ZX CVT Petrol,17400,2021,13000,Petrol,Automatic,Brown,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Tata,Nexon XZA Plus Petrol,10680,2018,35000,Petrol,Automatic,Orange,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0
Maruti Suzuki,Baleno Zeta 1.2,7500,2017,51145,Petrol,Manual,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mercedes-Benz,GLS 350 d,102000,2019,13000,Diesel,Automatic,White,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,5130.0,1934.0,1850.0,7.0,100.0
Audi,RS5 4.2 Coupe,34800,2011,56000,Petrol,Automatic,Red,Third,Individual,4163 cc,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,AWD,4649.0,1860.0,1366.0,5.0,64.0
Toyota,Innova 2.5 G 8 STR BS-III,5219,2010,120000,Diesel,Manual,Silver,First,Individual,,,,,,,,,
Mercedes-Benz,GLC 220 d Progressive,54600,2018,45000,Diesel,Automatic,Grey,First,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656.0,1890.0,1639.0,5.0,66.0
Skoda,Superb L&K TDI AT,30000,2017,82900,Diesel,Automatic,Brown,First,Individual,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0
Maruti Suzuki,Alto 800 Lxi CNG,2988,2014,56843,CNG + CNG,Manual,White,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Ford,Figo Duratec Petrol Titanium 1.2,3240,2015,64000,Petrol,Manual,Grey,First,Individual,1196 cc,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
Maruti Suzuki,DZire VXi AMT,9900,2019,9644,Petrol,Automatic,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],5100,2017,41624,Petrol,Automatic,White,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
Hyundai,Grand i10 Sportz U2 1.2 CRDi,5519,2016,82844,Diesel,Manual,Grey,First,Individual,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,E-Class E250 Elegance,11760,2011,78000,Petrol,Automatic,White,Second,Individual,2497 cc,204@6100,245@5000,RWD,4868.0,1854.0,1471.0,5.0,80.0
Renault,Duster RXL Petrol,9468,2017,60444,Petrol,Manual,Red,First,Individual,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
BMW,3-Series 330i M Sport Edition,61200,2022,6000,Petrol,Automatic,White,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Mahindra,Scorpio S10,9300,2014,125000,Diesel,Manual,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
Hyundai,Creta 1.6 SX Plus AT Petrol,16800,2019,13000,Petrol,Automatic,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,Ertiga VDi,9240,2015,112000,Diesel,Manual,Gold,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265.0,1695.0,1685.0,7.0,45.0
Maruti Suzuki,Ritz Vdi BS-IV,5340,2012,54948,Diesel,Manual,Silver,First,Individual,1248 cc,75@4000,190@2000,,3715.0,1680.0,1620.0,5.0,43.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],5400,2016,53300,Petrol,Manual,Maroon,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Honda,City SV,10080,2019,34000,Petrol,Manual,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mercedes-Benz,S-Class Maybach S 560,222000,2021,21000,Petrol,Automatic,Black,First,Individual,3982 cc,463 bhp @ 5250 rpm,700 Nm @ 2000 rpm,RWD,5462.0,1899.0,1498.0,4.0,70.0
Land Rover,Evoque HSE Dynamic,48000,2017,25500,Diesel,Automatic,White,Second,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360.0,2120.0,1635.0,5.0,57.0
Mahindra,XUV500 W8 1.99 [2016-2017],8280,2015,157662,Diesel,Manual,Silver,Second,Individual,1997 cc,138 bhp @ 3750 rpm,320 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Mercedes-Benz,CLA 200 D Urban Sport,33600,2018,20000,Diesel,Automatic,Red,First,Individual,2143 cc,136 bhp @ 3200 rpm,300 Nm @ 1400 rpm,FWD,4630.0,1777.0,1432.0,5.0,56.0
Hyundai,Xcent SX 1.1 CRDi,6300,2018,78900,Diesel,Manual,Silver,First,Individual,1120 cc,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
Maruti Suzuki,Wagon R LXi CNG,3420,2011,52000,CNG,Manual,Brown,First,Individual,998 cc,59@6200,77@3500,,3539.0,1475.0,1700.0,5.0,35.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],93360,2022,11000,Diesel,Automatic,Black,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
Skoda,Kodiaq Style 2.0 TDI 4x4 AT,23879,2018,103000,Diesel,Automatic,White,First,Individual,,,,,4697.0,1882.0,1665.0,7.0,63.0
Tata,Hexa XTA 4x2 7 STR,14400,2017,95785,Diesel,Automatic,Blue,First,Individual,2179 cc,154 bhp @ 4000 rpm,400 Nm @ 1700 rpm,RWD,4788.0,1903.0,1791.0,7.0,60.0
Ford,Ecosport Titanium 1.5L TDCi,7440,2017,92000,Diesel,Manual,Brown,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0
Jaguar,F-Pace Prestige,62400,2019,43000,Diesel,Automatic,Black,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4731.0,2071.0,1651.0,5.0,82.0
Mercedes-Benz,CLA 200 CDI Sport,23987,2017,39328,Diesel,Automatic,Silver,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630.0,1777.0,1432.0,5.0,56.0
Toyota,Innova 2.4 ZX AT 7 STR,32700,2020,18625,Diesel,Automatic,Bronze,First,Individual,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
Maruti Suzuki,Swift VXi [2014-2017],7080,2019,26000,Petrol,Manual,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
MINI,Countryman Cooper D,17868,2014,81000,Diesel,Automatic,Purple,Second,Individual,1995 cc,112 bhp @,270 Nm @ 1750 rpm,FWD,4097.0,1789.0,1561.0,5.0,47.0
Maruti Suzuki,DZire ZDi Plus AMT,8220,2018,92000,Diesel,Automatic,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Mahindra,Scorpio S3 2WD 7 STR,13452,2019,38000,Diesel,Manual,White,First,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456.0,1820.0,1930.0,7.0,60.0
Tata,Manza Aqua Safire BS-IV,1379,2012,93000,Petrol,Manual,Silver,Second,Individual,1368 cc,90@6000,116@4750,,4413.0,1703.0,1550.0,5.0,44.0
Maruti Suzuki,Wagon R VXI,6540,2019,10340,Petrol,Manual,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Audi,Q3 2.0 TDI quattro Premium,16200,2015,47706,Diesel,Automatic,Black,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,XL6 Alpha MT Petrol,15588,2021,13400,Petrol,Manual,White,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445.0,1775.0,1700.0,6.0,45.0
Ford,Aspire Titanium1.5 TDCi,5400,2016,44613,Diesel,Manual,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3995.0,1695.0,1525.0,5.0,40.0
Porsche,718 Cayman [2017-2020],108000,2017,7000,Petrol,Automatic,Red,First,Individual,1988 cc,295 bhp @ 6500 rpm,380 Nm @ 1950 rpm,RWD,4379.0,1801.0,1295.0,2.0,54.0
Maruti Suzuki,Swift VXi [2014-2017],6600,2019,29000,Petrol,Manual,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
BMW,3-Series 320d Luxury Line,52680,2020,23000,Diesel,Automatic,White,First,Corporate,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Maruti Suzuki,Wagon R LXI CNG (O),5340,2015,67580,CNG,Manual,White,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Hyundai,Verna 1.6 VTVT S,5940,2015,42000,Petrol,Manual,Red,First,Individual,1591 cc,121 bhp @ 6300 rpm,155 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
